Species;Day;Month;Year;Plot;Sex;Weight;Cal
DM;16;7;2013;2;F;;1
DM;16;7;2013;7;M;33;1
DM;16;7;2013;3;M;;1
DM;16;7;2013;1;M;;1
DM;18;7;2013;3;M;40;1
DM;18;7;2013;7;M;48;1
DM;18;7;2013;4;F;29;1
DM;18;7;2013;4;F;46;1
DM;18;7;2013;7;M;36;1
DM;18;7;2013;7;F;35;1
DM;18;7;2013;8;F;22;1
DM;18;7;2013;7;F;42;1
DM;18;7;2013;4;F;41;1
DM;18;7;2013;6;F;37;1
DO;19;8;2013;8;F;52;1
DO;17;10;2013;3;F;33;1
DO;17;10;2013;3;F;50;1
DO;17;10;2013;17;F;48;1
DO;17;10;2013;17;F;31;1
DO;18;10;2013;8;F;41;1
DO;12;11;2013;1;F;44;1
DO;12;11;2013;1;M;48;1
DO;14;11;2013;8;F;39;1
DO;10;12;2013;9;F;40;1
DO;10;12;2013;1;M;45;1
DO;11;12;2013;8;F;41;1
DS;12;11;2013;9;F;117;1
DS;12;11;2013;1;F;121;1
DS;12;11;2013;20;M;115;1
DS;12;11;2013;9;F;120;1
DS;13;11;2013;17;F;118;1
DS;13;11;2013;11;F;126;1
DS;13;11;2013;17;M;132;0
DS;13;11;2013;14;F;113;0
DS;13;11;2013;11;F;122;1
DS;13;11;2013;4;F;107;1
DS;13;11;2013;4;F;115;1
DM;9;1;2014;1;M;40;1
DM;9;1;2014;1;F;36;1
DS;9;1;2014;1;F;135;1
DM;20;1;2014;1;F;39;1
DM;20;1;2014;1;M;43;1
DS;20;1;2014;1;F;144;1
DM;13;3;2014;1;F;51;1
DM;13;3;2014;1;F;44;1
DS;13;3;2014;1;F;146;1
NA;8;1;2014;2;;;1
DM;8;1;2014;2;M;44;1
DM;8;1;2014;2;M;38;1
OL;8;1;2014;2;;;1
PE;8;1;2014;2;M;22;1
DM;8;1;2014;2;M;38;1
DM;8;1;2014;2;M;48;1
DM;8;1;2014;2;M;43;1
DM;8;1;2014;2;F;35;1
DM;8;1;2014;2;M;43;1
DM;8;1;2014;2;F;37;1
PF;8;1;2014;2;F;7;1
DM;8;1;2014;2;M;45;1
OT;8;1;2014;2;;;1
DS;8;1;2014;2;M;157;0
OX;8;1;2014;2;;;1
NA;18;2;2014;2;M;218;0
PF;18;2;2014;2;F;7;1
DM;18;2;2014;2;M;52;1
PF;8;1;;3;M;7;1
OT;18;2;;3;M;24;1
OT;18;2;;3;F;23;1
NA;11;3;;3;M;232;1
OT;11;3;;3;F;22;1
OT;11;3;;3;M;26;1
PF;11;3;;3;M;8;1
NA;8;4;;3;F;;1
;6;5;;3;;;1
NA;18;5;;3;F;182;1
OT;9;6;;3;F;29;1
NA;8;7;;3;F;115;1
NA;8;7;;3;M;190;1
DM;8;1;1978;4;F;37;1
DS;8;1;1978;4;F;128;1
DM;8;1;1978;4;F;42;1
DM;8;1;1978;4;M;37;1
DM;8;1;1978;4;M;;1
DM;8;1;1978;4;F;48;1
DM;8;1;1978;4;M;45;1
DM;8;1;1978;4;F;42;1
DO;8;1;1978;4;M;52;1
OL;8;1;1978;4;M;35;1
