spdmcol;Plot;Sex;Weight;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2013;2;F;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2013;7;M;33g;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2013;3;M;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2013;1;M;;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;3;M;40g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;7;M;48g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;4;F;29g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;4;F;46g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;7;M;36g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;7;F;35g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;8;F;22g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;7;F;42g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;4;F;41g;;;;;;;;;;;;;;;;;;;;;;;;
18/07/2013;6;F;37g;;;;;;;;;;;;;;;;;;;;;;;;
spdocol;Plot;Sex;Weight;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2013;8;F;52;;;;;;;;;;;;;;;;;;;;;;;;
17/10/2013;3;F;33;;;;;;;;;;;;;;;;;;;;;;;;
17/10/2013;3;F;50;;;;;;;;;;;;;;;;;;;;;;;;
17/10/2013;17;F;48;;;;;;;;;;;;;;;;;;;;;;;;
17/10/2013;17;F;31;;;;;;;;;;;;;;;;;;;;;;;;
18/10/2013;8;F;41;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;1;F;44;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;1;M;48;;;;;;;;;;;;;;;;;;;;;;;;
14/11/2013;8;F;39;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2013;9;F;40;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2013;1;M;45;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2013;8;F;41;;;;;;;;;;;;;;;;;;;;;;;;
spdscol;Plot;Sex;Weight;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;9;F;117;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;1;F;121;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;20;M;115;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2013;9;F;120;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;17;F;118;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;11;F;126;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;17;M;132 (scale not calibrated);;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;14;F;113 (scale not callibtrated);;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;11;F;122;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;4;F;107;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2013;4;F;115;;;;;;;;;;;;;;;;;;;;;;;;
