Species;Year;Month;Day;Plot;Sex;Weight;Cali;;
DM;2013;7;16;2;F;;;;
DM;2013;7;16;7;M;33;1;;
DM;2013;7;16;3;M;;;;
DM;2013;7;16;1;M;;;;
DM;2013;7;18;3;M;40;1;;
DM;2013;7;18;7;M;48;1;;
DM;2013;7;18;4;F;29;1;;
DM;2013;7;18;4;F;46;1;;
DM;2013;7;18;7;M;36;1;;
DM;2013;7;18;7;F;35;1;;
DM;2013;7;18;8;F;22;1;;
DM;2013;7;18;7;F;42;1;;
DM;2013;7;18;4;F;41;1;;
DM;2013;7;18;6;F;37;1;;
DO;2013;8;19;8;F;52;1;;
DO;2013;10;17;3;F;33;1;;
DO;2013;10;17;3;F;50;1;;
DO;2013;10;17;17;F;48;1;;
DO;2013;10;17;17;F;31;1;;
DO;2013;10;18;8;F;41;1;;
DO;2013;11;12;1;F;44;1;;
DO;2013;11;12;1;M;48;1;;
DO;2013;11;14;8;F;39;1;;
DO;2013;12;10;9;F;40;1;;
DO;2013;12;10;1;M;45;1;;
DO;2013;12;11;8;F;41;1;;
DS;2013;11;12;9;F;117;1;;
DS;2013;11;12;1;F;121;1;;
DS;2013;11;12;20;M;115;1;;
DS;2013;11;12;9;F;120;1;;
DS;2013;11;13;17;F;118;1;;
DS;2013;11;13;11;F;126;1;;
DS;2013;11;13;17;M;132;0;;
DS;2013;11;13;14;F;113;0;;
DS;2013;11;13;11;F;122;1;;
DS;2013;11;13;4;F;107;1;;
DS;2013;11;13;4;F;115;1;;
DM;2014;1;9;1;M;40;1;;
DM;2014;1;9;1;F;36;1;;
DS;2014;1;9;1;F;135;1;;
DM;2014;1;20;1;F;39;1;;
DM;2014;1;20;1;M;43;1;;
DS;2014;1;20;1;F;144;1;;
DM;2014;3;13;1;F;51;1;;
DM;2014;3;13;1;F;44;1;;
DS;2014;3;13;1;F;146;1;;
NA;2014;1;8;;;;;;
DM;2014;1;8;;M;44;1;;
DM;2014;1;8;;M;38;1;;
OL;2014;1;8;;;;;;
PE;2014;1;8;;M;22;1;;
DM;2014;1;8;;M;38;1;;
DM;2014;1;8;;M;48;1;;
DM;2014;1;8;;M;43;1;;
DM;2014;1;8;;F;35;1;;
DM;2014;1;8;;M;43;1;;
DM;2014;1;8;;F;37;1;;
PF;2014;1;8;;F;7;1;;
DM;2014;1;8;;M;45;1;;
OT;2014;1;8;;;;;;
DS;2014;1;8;;M;157;0;;
OX;2014;1;8;;;;;;
NA;2014;3;18;;M;218;0;;
PF;2014;3;18;;F;7;1;;
DM;2014;3;18;;M;52;1;;
PF;;1;8;;M;7;1;;
OT;;2;18;;M;24;1;;
OT;;2;18;;F;23;1;;
NA;;3;11;;M;232;1;;
OT;;3;11;;F;22;1;;
OT;;3;11;;M;26;1;;
PF;;3;11;;M;8;1;;
NA;;4;8;;F;;;;
;;5;6;;;;;;
NA;;5;18;;F;182;1;;
OT;;6;9;;F;29;1;;
NA;;7;8;;F;115;1;;
NA;;7;8;;M;190;1;;
DM;1978;1;8;;F;37;1;;
DS;1978;1;8;;F;128;1;;
DM;1978;1;8;;F;42;1;;
DM;1978;1;8;;M;37;;;
DM;1978;1;8;;M;;;;
DM;1978;1;8;;F;48;1;;
DM;1978;1;8;;M;45;1;;
DM;1978;1;8;;F;42;1;;
DO;1978;1;8;;M;52;1;;
OL;1978;1;8;;M;35;1;;
